,test_task,train_task,Mean,Std
0,glass,mem,0.595625,0.10991677046097846
1,glass,motor,0.5675694444444445,0.12793397544167226
2,glass,semantic,0.6194444444444445,0.08071658781502648
3,mem,glass,0.5849305555555555,0.15182239156411323
4,mem,motor,0.5612499999999999,0.07900045207827244
5,mem,semantic,0.6456249999999999,0.08889952193347272
6,motor,glass,0.6292361111111111,0.15918662787932542
7,motor,mem,0.599375,0.1075518977716605
8,motor,semantic,0.65875,0.11044552632729986
9,semantic,glass,0.620625,0.09656372803195086
10,semantic,mem,0.6831250000000002,0.04527199544341486
11,semantic,motor,0.631875,0.0932330988130594
