,test_task,train_task,Mean,Std
0,glass,mem,0.8422916666666664,0.13834606223708693
1,glass,motor,0.6570138888888888,0.1444361833718248
2,glass,semantic,0.8013888888888889,0.09877601905338809
3,mem,glass,0.7480555555555556,0.1350047356932785
4,mem,motor,0.62,0.10169983846032964
5,mem,semantic,0.6943749999999999,0.13670712960820403
6,motor,glass,0.7934027777777778,0.13441736494306208
7,motor,mem,0.8825,0.11719946367502831
8,motor,semantic,0.625,0.09047493733468011
9,semantic,glass,0.8966666666666666,0.08018332170323876
10,semantic,mem,0.8793749999999999,0.07645902263864708
11,semantic,motor,0.618125,0.1215359294318234
