,test_task,train_task,Mean,Std
0,glass,mem,0.8309722222222222,0.15677434946135152
1,glass,motor,0.7096527777777778,0.143292395255013
2,glass,semantic,0.8437499999999999,0.10622583758873631
3,mem,glass,0.7402777777777778,0.10707799329941693
4,mem,motor,0.66375,0.13881513914967225
5,mem,semantic,0.714375,0.11515323641627642
6,motor,glass,0.8192361111111112,0.10995988425959928
7,motor,mem,0.89,0.09055385138137415
8,motor,semantic,0.7224999999999999,0.12398156544998354
9,semantic,glass,0.8597222222222223,0.10020525672052742
10,semantic,mem,0.85125,0.07084943794514441
11,semantic,motor,0.6493749999999999,0.1380330576347565
