,test_task,train_task,Mean,Std
0,glass,mem,0.8542361111111111,0.1337668011831241
1,glass,motor,0.6494444444444445,0.12570471544460385
2,glass,semantic,0.8309027777777778,0.10243935595770794
3,mem,glass,0.7546527777777777,0.1380424804577734
4,mem,motor,0.6312500000000001,0.12517844405944206
5,mem,semantic,0.7106250000000001,0.139038471037952
6,motor,glass,0.7802083333333333,0.15662470942726317
7,motor,mem,0.864375,0.1195658067461477
8,motor,semantic,0.670625,0.11120886077235803
9,semantic,glass,0.8894444444444445,0.08567246187138582
10,semantic,mem,0.8949999999999999,0.07216053531635461
11,semantic,motor,0.6237499999999999,0.11525592640479955
