,test_task,train_task,Mean,Std
0,glass,mem,0.8398611111111111,0.14247861004721954
1,glass,motor,0.6652083333333334,0.12919296967210875
2,glass,semantic,0.7920138888888888,0.08902417160811699
3,mem,glass,0.772013888888889,0.149734903164725
4,mem,motor,0.64625,0.11587400793226109
5,mem,semantic,0.6925,0.1238951169336387
6,motor,glass,0.7736805555555556,0.12557344215198413
7,motor,mem,0.8699999999999999,0.12618014333257266
8,motor,semantic,0.614375,0.10489578161203626
9,semantic,glass,0.8938194444444444,0.08472199453521317
10,semantic,mem,0.8868750000000001,0.06808280147836791
11,semantic,motor,0.6393750000000001,0.12436804539062969
