Network,Acc,Features,z_score
unassign,0.6762326388888887,14808,-0.4819016844337298
default,0.7761574074074075,10824,0.23557220038999524
visual,0.7025636574074076,8736,-0.2928412700045887
fp,0.7895543981481481,4620,0.33176447718196295
dan,0.7731770833333332,5264,0.21417305458098174
van,0.7487037037037038,3151,0.03845074851047104
salience,0.7271064814814814,484,-0.116620343060859
co,0.7776041666666668,4060,0.24596013524873944
sm,0.7336458333333332,2375,-0.06966687749933669
sm-lat,0.6762384259259259,316,-0.4818601326942942
auditory,0.6972164351851852,564,-0.33123507724250734
pmn,0.7009953703703703,45,-0.3041017913914687
pon,0.6963425925925927,21,-0.33750938989718793
