Test_variables,MSC01,MSC02,MSC03,MSC04,MSC05,MSC06,MSC07,MSC10
MSC01,1.0,0.8,0.85,1.0,0.9,0.9,0.6,0.8
MSC02,0.95,1.0,1.0,1.0,0.85,1.0,0.65,0.9
MSC03,0.9,0.85,1.0,0.95,1.0,0.9,0.85,0.9
MSC04,1.0,0.9,0.95,1.0,0.95,0.95,0.95,0.9
MSC05,0.9,0.9,0.95,0.95,1.0,0.9,0.9,0.8
MSC06,0.8,0.75,0.9,0.95,0.9,1.0,0.9,0.65
MSC07,0.95,0.95,0.95,1.0,0.9,0.8,1.0,0.9
MSC10,1.0,0.8,1.0,1.0,0.9,0.8,0.9,1.0
